fund_name,sector,start_weight_pct,end_weight_pct,start_date,end_date
360 ONE MF,Aerospace & Defence,0.63,0.52,2026-04-01,2026-05-01
360 ONE MF,Auto & Auto Ancillaries,10.73,9.31,2026-04-01,2026-05-01
360 ONE MF,Banks,15.81,16.26,2026-04-01,2026-05-01
360 ONE MF,Building materials,0.54,0.86,2026-04-01,2026-05-01
360 ONE MF,Chemicals,1.5,1.05,2026-04-01,2026-05-01
360 ONE MF,Consumer Durables,1.69,1.72,2026-04-01,2026-05-01
360 ONE MF,Consumer Goods,6.13,5.17,2026-04-01,2026-05-01
360 ONE MF,Engineering & Capital Goods,9.0,9.96,2026-04-01,2026-05-01
360 ONE MF,Financial Services,0.7,0.93,2026-04-01,2026-05-01
360 ONE MF,Financial services/Insurance,13.26,13.64,2026-04-01,2026-05-01
360 ONE MF,Infra/Real estate,5.77,2.15,2026-04-01,2026-05-01
360 ONE MF,IT,5.91,6.8,2026-04-01,2026-05-01
360 ONE MF,Metals & Mining,1.94,3.11,2026-04-01,2026-05-01
360 ONE MF,Miscellaneous,9.74,10.56,2026-04-01,2026-05-01
360 ONE MF,Oil/Energy,0.63,1.03,2026-04-01,2026-05-01
360 ONE MF,Pharma/healthcare,5.58,5.95,2026-04-01,2026-05-01
360 ONE MF,Power,0.18,0.41,2026-04-01,2026-05-01
360 ONE MF,Real Estate Investment Trusts,0.34,0.33,2026-04-01,2026-05-01
360 ONE MF,Telecom/Media,9.9,10.23,2026-04-01,2026-05-01
Aditya BirlaSunM,Aerospace & Defence,0.73,0.72,2026-04-01,2026-05-01
Aditya BirlaSunM,Auto & Auto Ancillaries,8.61,8.49,2026-04-01,2026-05-01
Aditya BirlaSunM,Banks,20.08,19.35,2026-04-01,2026-05-01
Aditya BirlaSunM,Building materials,2.75,3.05,2026-04-01,2026-05-01
Aditya BirlaSunM,Chemicals,2.05,2.06,2026-04-01,2026-05-01
Aditya BirlaSunM,Co-Working,0.08,0.08,2026-04-01,2026-05-01
Aditya BirlaSunM,Consumer Durables,1.76,1.48,2026-04-01,2026-05-01
Aditya BirlaSunM,Consumer Goods,9.33,9.3,2026-04-01,2026-05-01
Aditya BirlaSunM,Engineering & Capital Goods,4.24,4.46,2026-04-01,2026-05-01
Aditya BirlaSunM,Financial Services,0.53,0.56,2026-04-01,2026-05-01
Aditya BirlaSunM,Financial services/Insurance,9.06,9.42,2026-04-01,2026-05-01
Aditya BirlaSunM,Infra/Real estate,5.28,5.05,2026-04-01,2026-05-01
Aditya BirlaSunM,IT,11.96,11.84,2026-04-01,2026-05-01
Aditya BirlaSunM,Metals & Mining,3.38,3.55,2026-04-01,2026-05-01
Aditya BirlaSunM,Miscellaneous,3.1,3.42,2026-04-01,2026-05-01
Aditya BirlaSunM,Oil/Energy,4.59,4.17,2026-04-01,2026-05-01
Aditya BirlaSunM,Pharma/healthcare,6.71,7.03,2026-04-01,2026-05-01
Aditya BirlaSunM,Plywood Boards/Laminates,0.09,0.1,2026-04-01,2026-05-01
Aditya BirlaSunM,Power,2.34,2.67,2026-04-01,2026-05-01
Aditya BirlaSunM,Printing & Stationery,0.02,0.02,2026-04-01,2026-05-01
