sector,date,weight
Aerospace & Defence,2024-06-01,0.02
Aerospace & Defence,2024-07-01,0.02
Aerospace & Defence,2024-08-01,0.01
Aerospace & Defence,2024-09-01,0.01
Aerospace & Defence,2024-10-01,0.01
Aerospace & Defence,2024-11-01,0.01
Aerospace & Defence,2024-12-01,0.01
Aerospace & Defence,2025-01-01,0.01
Aerospace & Defence,2025-02-01,0.01
Aerospace & Defence,2025-03-01,0.01
Aerospace & Defence,2025-04-01,0.01
Aerospace & Defence,2025-05-01,0.02
Aerospace & Defence,2025-06-01,0.02
Aerospace & Defence,2025-07-01,0.01
Aerospace & Defence,2025-08-01,0.01
Aerospace & Defence,2025-09-01,0.01
Aerospace & Defence,2025-10-01,0.01
Aerospace & Defence,2025-11-01,0.01
Aerospace & Defence,2025-12-01,0.01
Aerospace & Defence,2026-01-01,0.02
Aerospace & Defence,2026-02-01,0.01
Aerospace & Defence,2026-03-01,0.01
Aerospace & Defence,2026-04-01,0.01
Aerospace & Defence,2026-05-01,0.02
Auto & Auto Ancillaries,2024-06-01,0.1
Auto & Auto Ancillaries,2024-07-01,0.1
Auto & Auto Ancillaries,2024-08-01,0.09
Auto & Auto Ancillaries,2024-09-01,0.1
Auto & Auto Ancillaries,2024-10-01,0.09
Auto & Auto Ancillaries,2024-11-01,0.09
Auto & Auto Ancillaries,2024-12-01,0.09
Auto & Auto Ancillaries,2025-01-01,0.1
Auto & Auto Ancillaries,2025-02-01,0.1
Auto & Auto Ancillaries,2025-03-01,0.09
Auto & Auto Ancillaries,2025-04-01,0.09
Auto & Auto Ancillaries,2025-05-01,0.09
Auto & Auto Ancillaries,2025-06-01,0.09
Auto & Auto Ancillaries,2025-07-01,0.09
Auto & Auto Ancillaries,2025-08-01,0.1
Auto & Auto Ancillaries,2025-09-01,0.1
Auto & Auto Ancillaries,2025-10-01,0.1
Auto & Auto Ancillaries,2025-11-01,0.1
Auto & Auto Ancillaries,2025-12-01,0.1
Auto & Auto Ancillaries,2026-01-01,0.1
Auto & Auto Ancillaries,2026-02-01,0.1
Auto & Auto Ancillaries,2026-03-01,0.1
Auto & Auto Ancillaries,2026-04-01,0.1
Auto & Auto Ancillaries,2026-05-01,0.1
Banks,2024-06-01,0.25
Banks,2024-07-01,0.23
Banks,2024-08-01,0.22
Banks,2024-09-01,0.23
Banks,2024-10-01,0.24
Banks,2024-11-01,0.24
Banks,2024-12-01,0.24
Banks,2025-01-01,0.24
Banks,2025-02-01,0.26
Banks,2025-03-01,0.27
Banks,2025-04-01,0.27
Banks,2025-05-01,0.26
Banks,2025-06-01,0.26
Banks,2025-07-01,0.26
Banks,2025-08-01,0.25
Banks,2025-09-01,0.25
Banks,2025-10-01,0.25
Banks,2025-11-01,0.26
Banks,2025-12-01,0.26
Banks,2026-01-01,0.27
Banks,2026-02-01,0.27
Banks,2026-03-01,0.26
Banks,2026-04-01,0.25
Banks,2026-05-01,0.25
Building materials,2024-06-01,0.03
Building materials,2024-07-01,0.03
Building materials,2024-08-01,0.03
Building materials,2024-09-01,0.03
Building materials,2024-10-01,0.03
Building materials,2024-11-01,0.03
Building materials,2024-12-01,0.03
Building materials,2025-01-01,0.03
Building materials,2025-02-01,0.03
Building materials,2025-03-01,0.03
Building materials,2025-04-01,0.03
Building materials,2025-05-01,0.03
Building materials,2025-06-01,0.04
Building materials,2025-07-01,0.04
Building materials,2025-08-01,0.04
Building materials,2025-09-01,0.04
Building materials,2025-10-01,0.04
Building materials,2025-11-01,0.03
Building materials,2025-12-01,0.03
Building materials,2026-01-01,0.03
Building materials,2026-02-01,0.03
Building materials,2026-03-01,0.03
Building materials,2026-04-01,0.03
Building materials,2026-05-01,0.03
Chemicals,2024-06-01,0.01
Chemicals,2024-07-01,0.01
Chemicals,2024-08-01,0.01
Chemicals,2024-09-01,0.01
Chemicals,2024-10-01,0.01
Chemicals,2024-11-01,0.01
Chemicals,2024-12-01,0.01
Chemicals,2025-01-01,0.01
Chemicals,2025-02-01,0.01
Chemicals,2025-03-01,0.01
Chemicals,2025-04-01,0.01
Chemicals,2025-05-01,0.01
Chemicals,2025-06-01,0.01
Chemicals,2025-07-01,0.01
Chemicals,2025-08-01,0.01
Chemicals,2025-09-01,0.01
Chemicals,2025-10-01,0.01
Chemicals,2025-11-01,0.01
Chemicals,2025-12-01,0.01
Chemicals,2026-01-01,0.01
Chemicals,2026-02-01,0.01
Chemicals,2026-03-01,0.01
Chemicals,2026-04-01,0.01
Chemicals,2026-05-01,0.01
Co-Working,2024-06-01,0.0
Co-Working,2024-07-01,0.0
Co-Working,2024-08-01,0.0
Co-Working,2024-09-01,0.0
Co-Working,2024-10-01,0.0
Co-Working,2024-11-01,0.0
Co-Working,2024-12-01,0.0
Co-Working,2025-01-01,0.0
Co-Working,2025-02-01,0.0
Co-Working,2025-03-01,0.0
Co-Working,2025-04-01,0.0
Co-Working,2025-05-01,0.0
Co-Working,2025-06-01,0.0
Co-Working,2025-07-01,0.0
Co-Working,2025-08-01,0.0
